accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.5,0.4166666567325592,0.8355377316474915,0.5,0.5,0.6666666865348816,0.3888888955116272,0.6927902102470398,0.6000000238418579,1.0,9.999999747378752e-05
0.75,0.805555522441864,0.5393415689468384,0.800000011920929,0.6666666865348816,0.6666666865348816,0.4444444179534912,0.6921820044517517,0.6000000238418579,1.0,9.999999747378752e-05
0.8333333134651184,0.9722222089767456,0.3344985544681549,1.0,0.6666666865348816,0.3333333432674408,0.5,0.6916813254356384,0.3333333432674408,0.3333333432674408,9.999999747378752e-05
0.5833333134651184,0.8333333730697632,0.43191611766815186,0.6000000238418579,0.5,0.5,0.6666666269302368,0.6905729174613953,0.5,0.3333333432674408,9.999999747378752e-05
1.0,1.0,0.16514115035533905,1.0,1.0,0.6666666865348816,0.7222222685813904,0.6889939904212952,1.0,0.3333333432674408,9.999999747378752e-05
0.9166666865348816,1.0,0.18815352022647858,0.8571428656578064,1.0,0.6666666865348816,0.7777777910232544,0.6876854300498962,1.0,0.3333333432674408,9.999999747378752e-05
1.0,1.0,0.059833381325006485,1.0,1.0,0.6666666865348816,0.7777777910232544,0.6869146227836609,1.0,0.3333333432674408,9.999999747378752e-05
1.0,1.0,0.07776965945959091,1.0,1.0,0.6666666865348816,0.7222222685813904,0.6863822937011719,1.0,0.3333333432674408,9.999999747378752e-05
1.0,1.0,0.05528250336647034,1.0,1.0,0.6666666865348816,0.6666666865348816,0.6858475804328918,1.0,0.3333333432674408,9.999999747378752e-05
1.0,1.0,0.0327446311712265,1.0,1.0,0.6666666865348816,0.6666666269302368,0.6854535937309265,1.0,0.3333333432674408,9.999999747378752e-05
1.0,1.0,0.046013545244932175,1.0,1.0,0.6666666865348816,0.7222222089767456,0.6849133372306824,1.0,0.3333333432674408,9.999999747378752e-05
0.9166666865348816,1.0,0.10720187425613403,1.0,0.8333333134651184,0.6666666865348816,0.7777777910232544,0.6843001246452332,1.0,0.3333333432674408,9.999999747378752e-05
1.0,1.0,0.03771976754069328,1.0,1.0,0.6666666865348816,0.7222222089767456,0.6838307976722717,1.0,0.3333333432674408,9.999999747378752e-05
1.0,1.0,0.031023530289530754,1.0,1.0,0.8333333134651184,0.6666666865348816,0.6836116313934326,1.0,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.029419386759400368,1.0,1.0,0.6666666865348816,0.6111111640930176,0.6833404898643494,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.013542909175157547,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6829250454902649,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.008374132215976715,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6825652122497559,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.010218336246907711,1.0,1.0,0.6666666865348816,0.6111111640930176,0.6823678612709045,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.01902104541659355,1.0,1.0,0.6666666865348816,0.6111111640930176,0.6821319460868835,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.017343219369649887,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6819866299629211,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.011173340491950512,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6817483901977539,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.005949555430561304,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6815299987792969,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.008205552585422993,1.0,1.0,0.6666666865348816,0.6111111640930176,0.6813764572143555,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.007544143125414848,1.0,1.0,0.6666666865348816,0.6111111640930176,0.6814072728157043,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.007932037115097046,1.0,1.0,0.6666666865348816,0.6111111640930176,0.6813843846321106,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.009733948856592178,1.0,1.0,0.6666666865348816,0.6111111640930176,0.6811656951904297,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.00539085129275918,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6808484196662903,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.007489614654332399,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6805484890937805,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.009874372743070126,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6804301142692566,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.004018058534711599,1.0,1.0,0.6666666865348816,0.6111111044883728,0.6802334785461426,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.005622874945402145,1.0,1.0,0.6666666865348816,0.6111111640930176,0.6800634264945984,0.6666666865348816,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.007395531516522169,1.0,1.0,0.5,0.6111111044883728,0.6799871325492859,0.5,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.007154086139053106,1.0,1.0,0.5,0.555555522441864,0.6798810958862305,0.5,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0027965910267084837,1.0,1.0,0.3333333432674408,0.6111111044883728,0.6797104477882385,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.006111184600740671,1.0,1.0,0.3333333432674408,0.6111111640930176,0.6794852614402771,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0030299548525363207,1.0,1.0,0.3333333432674408,0.6111111044883728,0.6791817545890808,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0037252369802445173,1.0,1.0,0.3333333432674408,0.6111111044883728,0.6788549423217773,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0027254505548626184,1.0,1.0,0.3333333432674408,0.6111111044883728,0.6786282658576965,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0035774416755884886,1.0,1.0,0.3333333432674408,0.6111111044883728,0.6785199642181396,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.00520156929269433,1.0,1.0,0.3333333432674408,0.6111111044883728,0.6783397793769836,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0050102705135941505,1.0,1.0,0.3333333432674408,0.6666666269302368,0.6782345771789551,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0071444944478571415,1.0,1.0,0.3333333432674408,0.6111111044883728,0.6780322194099426,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0027781527023762465,1.0,1.0,0.3333333432674408,0.6111111640930176,0.6778709292411804,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0038464192766696215,1.0,1.0,0.3333333432674408,0.6666666865348816,0.677753210067749,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.0028281453996896744,1.0,1.0,0.3333333432674408,0.6666666865348816,0.6776233315467834,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.005015382077544928,1.0,1.0,0.3333333432674408,0.6111111044883728,0.6773993372917175,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.00209871050901711,1.0,1.0,0.3333333432674408,0.6666666269302368,0.6772024035453796,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.004281000234186649,1.0,1.0,0.3333333432674408,0.6666666269302368,0.6770567297935486,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
1.0,1.0,0.003682731883600354,1.0,1.0,0.3333333432674408,0.6666666269302368,0.6768734455108643,0.4000000059604645,0.6666666865348816,9.999999747378752e-05
